"species"
"Ablennes hians"
"Abudefduf saxatilis"
"Abudefduf sexfasciatus"
"Abudefduf sordidus"
"Abudefduf vaigiensis"
"Acanthaluteres vittiger"
"Acanthochromis polyacanthus"
"Acanthopagrus arabicus"
"Acanthopagrus australis"
"Acanthopagrus bifasciatus"
"Acanthostracion quadricornis"
"Acanthuridae"
"Acanthurus albipectoralis"
"Acanthurus auranticavus"
"Acanthurus bahianus"
"Acanthurus bariene"
"Acanthurus blochii"
"Acanthurus chirurgus"
"Acanthurus coeruleus"
"Acanthurus dussumieri"
"Acanthurus fowleri"
"Acanthurus grammoptilus"
"Acanthurus guttatus"
"Acanthurus japonicus"
"Acanthurus leucocheilus"
"Acanthurus leucosternon"
"Acanthurus lineatus"
"Acanthurus maculiceps"
"Acanthurus mata"
"Acanthurus nigricans"
"Acanthurus nigricauda"
"Acanthurus nigrofuscus"
"Acanthurus nigroris"
"Acanthurus nubilus"
"Acanthurus olivaceus"
"Acanthurus pyroferus"
"Acanthurus tennentii"
"Acanthurus thompsoni"
"Acanthurus tractus"
"Acanthurus triostegus"
"Acanthurus xanthopterus"
"Achoerodus gouldii"
"Acreichthys tomentosus"
"Aeoliscus strigatus"
"Aethaloperca rogaa"
"Aetobatus narinari"
"Alectis ciliaris"
"Alectis indica"
"Alepes djedaba"
"Alepes kleinii"
"Aluterus monoceros"
"Aluterus scriptus"
"Amanses scopas"
"Amblyeleotris fasciata"
"Amblyglyphidodon aureus"
"Amblyglyphidodon curacao"
"Amblyglyphidodon leucogaster"
"Amblygobius bynoensis"
"Amblygobius phalaena"
"Amphiprion chrysopterus"
"Amphiprion melanopus"
"Amphiprion percula"
"Amphiprion perideraion"
"Amphiprion polymnus"
"Amphiprion tricinctus"
"Anampses caeruleopunctatus"
"Anampses melanurus"
"Anampses meleagrides"
"Anampses neoguinaicus"
"Anampses twistii"
"Anisotremus interruptus"
"Anisotremus virginicus"
"Anyperodon leucogrammicus"
"Aphareus furca"
"Apogon imberbis"
"Apolemichthys trimaculatus"
"Aprion"
"Aprion virescens"
"Apsilus dentatus"
"Archosargus probatocephalus"
"Archosargus rhomboidalis"
"Argyrops filamentosus"
"Argyrops spinifer"
"Argyrosomus japonicus"
"Argyrosomus regius"
"Argyrozona argyrozona"
"Arothron mappa"
"Arothron meleagris"
"Arothron nigropunctatus"
"Asterropteryx semipunctata"
"Atractoscion nobilis"
"Atule mate"
"Aulostomidae"
"Aulostomus chinensis"
"Aulostomus maculatus"
"Balistapus undulatus"
"Balistes capriscus"
"Balistes polylepis"
"Balistes vetula"
"Balistidae"
"Balistoides conspicillum"
"Balistoides viridescens"
"Bathygobius soporator"
"Belone belone"
"Belonoperca chabanaudi"
"Bodianus"
"Bodianus anthioides"
"Bodianus axillaris"
"Bodianus diana"
"Bodianus loxozonus"
"Bodianus mesothorax"
"Bodianus rufus"
"Bolbometopon muricatum"
"Boops boops"
"Bothus podas"
"Branchiostegus argentatus"
"Caesio"
"Caesio caerulaurea"
"Caesio cuning"
"Caesio lunaris"
"Caesio teres"
"Caesio varilineata"
"Caesioinidae"
"Calamus"
"Calamus bajonado"
"Calamus calamus"
"Calamus leucosteus"
"Calamus nodosus"
"Calamus penna"
"Calamus proridens"
"Calotomus"
"Calotomus carolinus"
"Calotomus japonicus"
"Calotomus spinidens"
"Cantherhines macrocerus"
"Cantherhines pardalis"
"Cantherhines pullus"
"Canthidermis sufflamen"
"Canthigaster bennetti"
"Carangidae"
"Carangoides armatus"
"Carangoides bajad"
"Carangoides chrysophrys"
"Carangoides equula"
"Carangoides ferdau"
"Carangoides fulvoguttatus"
"Carangoides malabaricus"
"Carangoides plagiotaenia"
"Caranx bucculentus"
"Caranx caballus"
"Caranx crysos"
"Caranx hippos"
"Caranx ignobilis"
"Caranx lugubris"
"Caranx melampygus"
"Caranx papuensis"
"Caranx rhonchus"
"Caranx ruber"
"Caranx sexfasciatus"
"Caranx tille"
"Carcharhinus amblyrhynchos"
"Carcharhinus melanopterus"
"Caulolatilus affinis"
"Centrolabrus exoletus"
"Centropomus undecimalis"
"Centropristis striata"
"Centropyge bicolor"
"Centropyge bispinosa"
"Centropyge flavissima"
"Centropyge loriculus"
"Centropyge multispinis"
"Centropyge nox"
"Centropyge vrolikii"
"Cephalopholis argus"
"Cephalopholis boenak"
"Cephalopholis cruentata"
"Cephalopholis cyanostigma"
"Cephalopholis fulva"
"Cephalopholis hemistiktos"
"Cephalopholis leopardus"
"Cephalopholis microprion"
"Cephalopholis miniata"
"Cephalopholis nigripinnis"
"Cephalopholis panamensis"
