"","id","name","display","notes","status","biomass_constant_a","biomass_constant_b","biomass_constant_c","climate_score","vulnerability","max_length","trophic_level","max_length_type","genus","group_size","trophic_group","functional_group","created_on","updated_on","species","calcium.mg","iron.mg","selenium.mug","zinc.mg","vitamin_a.mug"
"1","0006e6d8-7501-4c2d-9cda-263194f8e58b","rubrioperculatus","Lethrinus rubrioperculatus","","Open",0.01279,3.039657,1,NA,39.56,50,3.83,"total length","457b1ea8-dcec-4f99-8fce-49b0a20269bb","239e669e-f42b-454d-a5ea-d2adf7198a51","2dda0d31-dd2c-4ffa-8ea5-99c01f49802f","4d268d15-a189-4925-b51f-fc7bddff5e47","2018-04-04T19:04:23.107621Z","2020-02-17T19:10:43.627478Z","Lethrinus rubrioperculatus",47.95039498,0.897611844,52.57311207,2.084021345,17.75591796
"2","001335da-5d04-4d93-aa62-1ee64f646cfd","maculatus","Aulostomus maculatus","","Open",0.00396,3.08,1,NA,49.99,100,4.26,"total length","e7154ff7-e922-4d5d-9151-fc3e35ea2e73","930bac6f-5723-4863-81f1-819513df0296","e7aeb7b3-6f85-437a-b538-a2b7141b8e1c","93553f68-2e87-447e-b523-d98eb326081d","2020-02-17T19:24:24.498034Z","2020-02-17T19:24:24.498057Z","Aulostomus maculatus",28.11709622,0.877105115,30.87774359,0.609187604,22.77379361
"3","001e6ded-97f3-4d6e-a5cd-fa13c2d4d2ba","perezii","Carcharhinus perezii","","Open",0.0271,3,1,NA,76.49,300,4.5,"total length","daeaf890-ff4f-4df2-91f0-41755ecd5b8a","930bac6f-5723-4863-81f1-819513df0296","e7aeb7b3-6f85-437a-b538-a2b7141b8e1c","110740ed-2223-4531-bf5e-c83db70f7e84","2020-02-17T19:24:25.184181Z","2020-02-17T19:24:25.184204Z","Carcharhinus perezii",NA,NA,NA,NA,NA
"4","0022d638-0d3e-43bf-ab28-0f0a3029e48c","bigibbus","Kyphosus bigibbus","","Open",0.01479,2.99,1,NA,55.67,75,2.56,"total length","b9833da2-8072-4a60-8844-11ec6ce7d63d","5e235e0c-aeb3-45e1-87fe-59c875c87daa","bfd0371c-4ecc-4e06-8a50-144ce9a1c9ca","92bab0fe-5340-4e1f-8edc-16e835345547","2018-04-04T19:04:16.685552Z","2020-02-17T19:10:41.925271Z","Kyphosus bigibbus",21.74620577,0.517209481,42.55376169,1.10037314,24.20496437
"5","005003a0-2233-46d2-8214-e8213e80f1dc","petersii","Canthigaster petersii","subfamily bodyshape","Open",0.02818,2.094,1,NA,10,9,3.1,"total length","74efa2d7-f678-49cb-8749-f3abfffceac2","e5d75c96-9d6f-41a3-8f8e-85534d6d3337","3c587268-a241-4930-973a-e69880ea438b","2ab09ef5-1cb1-4ef4-8c5d-aa3291d907a3","2018-04-04T19:04:44.215377Z","2020-02-17T19:10:17.022571Z","Canthigaster petersii",NA,NA,NA,NA,NA
"6","0056d935-5eff-4047-9373-862ccb3c3855","kuiteri","Macropharyngodon kuiteri","subfamily bodyshape","Open",0.01,3.06,1,NA,17.67,10,3.4,"total length","1d9ec682-db3a-4b20-a554-02c284bf2c58","930bac6f-5723-4863-81f1-819513df0296","2dda0d31-dd2c-4ffa-8ea5-99c01f49802f","2ab09ef5-1cb1-4ef4-8c5d-aa3291d907a3","2018-04-04T19:04:20.489537Z","2020-02-17T19:10:45.748484Z","Macropharyngodon kuiteri",124.5015014,0.84921408,27.45371917,1.95653767,142.9462301
"7","005957fc-8e14-4579-a7be-65e148d2411e","milleri","Pomacentrus milleri","subfamily bodyshape","Open",0.01479,2.98,1,NA,19.23,7.5,2.76,"standard length","7a390c05-7846-47d7-a2f9-dec3d39d67d2","239e669e-f42b-454d-a5ea-d2adf7198a51","b44fa509-536a-4498-b205-e34bb4a4b4d9","b02bb1b1-69cf-4cb4-b98d-0b9e90ade002","2018-04-04T19:04:37.327716Z","2020-02-17T19:10:59.920577Z","Pomacentrus milleri",131.4936086,0.934211366,25.41367143,2.085713379,119.6944593
"8","006c5d50-99e7-4ad8-9f7f-536e83faac97","buccanella","Lutjanus buccanella","","Open",0.0263,2.89,0.937207,NA,62,75,3.9,"total length","a152f48f-cf4f-4890-8d56-c9ac943df18e","239e669e-f42b-454d-a5ea-d2adf7198a51","e7aeb7b3-6f85-437a-b538-a2b7141b8e1c","93553f68-2e87-447e-b523-d98eb326081d","2020-02-17T19:24:33.387031Z","2020-02-17T19:24:33.387052Z","Lutjanus buccanella",17.22807726,0.436419331,43.90010083,0.370447586,62.54913585
"9","00a55d22-8121-4cd7-8c38-3a2d5316ce77","acicularis","Gobiodon acicularis","All LWR for bodyshape","Open",0.01995,3.01,1,NA,10.53,3.9,3.4,"standard length","553f2792-928b-43ea-91d1-611e0aed98a9","239e669e-f42b-454d-a5ea-d2adf7198a51","b44fa509-536a-4498-b205-e34bb4a4b4d9","b02bb1b1-69cf-4cb4-b98d-0b9e90ade002","2018-04-04T19:04:12.798256Z","2020-02-17T19:10:36.705715Z","Gobiodon acicularis",NA,NA,NA,NA,NA
"10","00c5c947-833b-405c-93f1-02c8c6c223fa","roseoviridis","Coris roseoviridis","","Open",0.01,3.06,1,NA,34,19.8,3.4,"standard length","87b9194d-167c-4526-bbaf-2d99d7676e13","930bac6f-5723-4863-81f1-819513df0296","2dda0d31-dd2c-4ffa-8ea5-99c01f49802f","2ab09ef5-1cb1-4ef4-8c5d-aa3291d907a3","2018-10-12T15:22:11.949257Z","2020-02-17T19:10:29.558141Z","Coris roseoviridis",68.10997972,0.670904114,33.13897292,2.363926957,122.7039263
"11","00e3d5df-ffe4-4890-ad60-f4e17b923024","parrae","Clepticus parrae","","Open",0.01,3.05,1,NA,35,30,3.68,"total length","ffb3e349-ba16-448f-a139-141382e8a5af","10afcac0-d333-4fa3-aefd-23e3ca1bff6a","b44fa509-536a-4498-b205-e34bb4a4b4d9","b02bb1b1-69cf-4cb4-b98d-0b9e90ade002","2020-02-17T19:24:33.226921Z","2020-02-17T19:24:33.226942Z","Clepticus parrae",44.1836382,0.710022254,33.82510494,1.308434058,142.1907646
"12","00f30081-7a2c-4d2b-afec-6f3dc62a2f38","mitchilli","Anchoa mitchilli","","Open",0.0171,2.814,1,NA,23.1,10,3.46,"standard length","50ffcb8c-bcc4-4629-be05-eb18885af1eb","10afcac0-d333-4fa3-aefd-23e3ca1bff6a","b44fa509-536a-4498-b205-e34bb4a4b4d9","b02bb1b1-69cf-4cb4-b98d-0b9e90ade002","2020-02-17T19:24:24.069702Z","2020-02-17T19:24:24.069724Z","Anchoa mitchilli",328.7576084,3.063480385,16.28537052,1.753433852,32.3576153
"13","00f8d602-2c29-481f-854f-d30458dd8c94","sandeyeri","Coris sandeyeri","subfamily bodyshape","Open",0.01,3.06,1,NA,31.66,25,3.63,"total length","87b9194d-167c-4526-bbaf-2d99d7676e13","239e669e-f42b-454d-a5ea-d2adf7198a51","2dda0d31-dd2c-4ffa-8ea5-99c01f49802f","2ab09ef5-1cb1-4ef4-8c5d-aa3291d907a3","2018-04-04T19:04:19.451503Z","2020-02-17T19:10:29.583186Z","Coris sandeyeri",17.62025046,0.236109458,10.4812822,1.210023632,64.71336043
"14","0102d8ce-2649-40fb-bbfc-c6d54100ca4b","rutilans","Aphareus rutilans","","Open",0.00954,2.961,1,NA,58.21,110,4.11,"total length","853fc886-f023-467b-ad6a-300dc3946f5f","239e669e-f42b-454d-a5ea-d2adf7198a51","e7aeb7b3-6f85-437a-b538-a2b7141b8e1c","93553f68-2e87-447e-b523-d98eb326081d","2018-04-04T19:04:23.757431Z","2020-02-17T19:10:12.001186Z","Aphareus rutilans",20.08327523,0.474412528,47.05658149,0.743506092,87.67762069
"15","010769e0-aec7-40a9-a562-a9e2a9de4661","obscurus","Salarias obscurus","","Open",0.00759,3,1,NA,24,13,2,"total length","48ce901e-4608-4340-a648-e95ff33a10c3","930bac6f-5723-4863-81f1-819513df0296","7b52107b-d3a7-42ff-9aec-a24b74bd43a1","d02f1cc3-92e7-474b-866c-663a019df3df","2021-06-06T01:59:48.285850Z","2021-06-06T01:59:48.285905Z","Salarias obscurus",NA,NA,NA,NA,NA
"16","0122042b-21ae-4b47-be7e-58d15f63d1a3","princeps","Caulolatilus princeps","subfamily bodyshape","Open",0.00537,3.03,1,NA,66.1,102,3.9,"total length","71614aa6-397f-4c82-b3d7-08fde620d9a4",NA,"2dda0d31-dd2c-4ffa-8ea5-99c01f49802f","4d268d15-a189-4925-b51f-fc7bddff5e47","2018-04-04T19:04:25.138953Z","2020-02-17T19:10:18.708062Z","Caulolatilus princeps",15.47927177,0.496678266,22.62351833,0.725524915,41.02130114
