"fish_taxon","biomass_constant_a","biomass_constant_b","biomass_constant_c"
"Zebrasoma veliferum",0.034107,2.861415,1
"Meiacanthus oualanensis",0.00537,3.05,1
"Chaetodon lineolatus",0.06926,2.62151,1
"Chaetodon lunulatus",0.031917,3.039268,1
"Chaetodon speculum",0.06637,2.69302,1
"Heniochus chrysostomus",0.014881,3.307727,1
"Neoniphon sammara",0.00489,3.379,1
"Cheilinus chlorourus",0.023702,2.93323,1
"Cheilinus trilobatus",0.019476,2.999946,1
"Epibulus insidiator",0.01405,3.08102,1
"Parupeneus multifasciatus",0.01136,3.211,0.933
"Scolopsis bilineata",0.014234,3.161414,0.93
"Chlorurus bleekeri",0.0415,2.946,0.897666
"Hipposcarus longiceps",0.0161,3.05,1
"Scarus frenatus",0.01889,3.06,1
"Scarus ghobban",0.015696,3.016738,1
"Scarus globiceps",0.0162,3.09,1
"Scarus niger",0.024136,3.147753,0.794
"Scarus rivulatus",0.0184,3.058,1
"Scarus schlegeli",0.020801,3.00244,1
"Rastrelliger kanagurta",0.005561,3.224105,1
"Chaetodon ephippium",0.02249,3.06092,1
"Thalassoma hardwicke",0.008713,3.208829,1
"Thalassoma lunare",0.0183,2.862,1
"Parapercis hexophtalma",0.00682,3.15726,1
"Chlorurus sordidus",0.020118,3.059482,1
"Scarus dimidiatus",0.0278,3.049,0.871
"Heniochus varius",0.02188,3.02,1
"Parupeneus barberinus",0.00627,3.195,1
"Plectropomus areolatus",0.01148,3.05,1
"Caranx melampygus",0.017067,2.943245,1
"Cheilinus fasciatus",0.01995,3,1
"Oxycheilinus digramma",0.0389,2.847,0.848
"Monotaxis grandoculis",0.041756,2.851508,0.95
"Lutjanus bohar",0.013464,3.055209,1
"Lutjanus ehrenbergii",0.0367,2.96,0.835422
"Macolor niger",0.0217,2.97,0.921
"Pomacanthus semicirculatus",0.0309,2.9,1
"Plectropomus leopardus",0.009115,3.105091,1
"Acanthurus nigricauda",0.015087,3.021904,1
"Ctenochaetus striatus",0.01569,3.058599,1
"Naso brevirostris",0.032661,2.93798,1
"Chaetodon ulietensis",0.03114,2.87412,1
"Heniochus acuminatus",0.025869,3.083976,1
"Cheilinus undulatus",0.017807,3.018029,1
"Gomphosus varius",0.01838,2.70269,1
"Hemigymnus melapterus",0.02423,2.92262,1
"Labroides dimidiatus",0.006669,3.172365,1
"Siganus guttatus",0.054842,2.662305,1
"Siganus vermiculatus",0.01585,3.07,1
"Acanthurus nigrofuscus",0.014309,3.096389,1
"Chaetodon auriga",0.037129,2.873369,1
"Chaetodon vagabundus",0.02776,2.97346,1
"Parupeneus indicus",0.0148,3.1,0.933
"Siganus doliatus",0.010734,3.26183,0.95
"Halichoeres marginatus",0.00526,3.414,1
"Scarus viridifucatus",0.01445,3.04,1
"Siganus uspi",0.01585,3.07,1
"Hemigymnus fasciatus",0.02423,2.92262,1
"Cetoscarus ocellatus",0.0276,2.92,1
"Acanthurus auranticavus",0.02291,2.96,1
"Chaetodon rafflesii",0.02291,3.01,1
"Chaetodon bennetti",0.03839,2.88508,1
"Lutjanus fulvus",0.020046,2.95091,1
"Chlorurus microrhinos",0.021734,3.012728,1
"Pterocaesio tile",0.013,3.268,0.863
"Chaetodon lunula",0.02291,3.01,1
"Lutjanus gibbus",0.016308,3.030469,1
"Arothron nigropunctatus",0.02754,2.88,1
"Balistapus undulatus",0.0565,2.947,0.840689
"Pterois volitans",0.0104,3.3,1
"Lethrinus harak",0.014947,3.034322,1
"Lutjanus semicinctus",0.00359,3.42802,1
"Chaetodon citrinellus",0.037678,2.815819,1
"Chlorurus bowersi",0.00794,3.11,1
"Plectropomus laevis",0.00523,3.23774,1
"Halichoeres margaritaceus",0.00526,3.414,1
"Halichoeres hortulanus",0.0119,3.064,1
"Parapercis clathrata",0.00646,3.1,1
"Zanclus cornutus",0.0147,3.36991,1
"Halichoeres richmondi",0.01,3.08,1
"Lutjanus monostigma",0.018003,2.939851,1
"Epinephelus ongus",0.020182,2.90917,1
"Carangoides plagiotaenia",0.0782,2.598,0.861326
"Plectropomus maculatus",0.00647,3.22,1
"Acanthurus xanthopterus",0.026812,2.892373,1
"Caranx papuensis",0.020086,2.899337,1
"Amblyglyphidodon aureus",0.02239,2.99,1
"Epinephelus merra",0.013138,3.109829,1
"Heniochus monoceros",0.019121,3.174275,1
"Scarus altipinnis",0.0206,3,1
"Zebrasoma scopas",0.034129,2.939876,1
"Heniochus singularius",0.02188,3.02,1
"Acanthurus lineatus",0.016755,2.969606,1
"Acanthurus pyroferus",0.02291,2.96,1
"Naso lituratus",0.0324,2.94,0.848176
"Chaetodon unimaculatus",0.0533,2.83328,1
"Bodianus mesothorax",0.01202,3.06,1
"Thalassoma jansenii",0.00977,3.05,1
"Scarus oviceps",0.0144,3.14,0.84317
"Cephalopholis argus",0.011562,3.143294,1
"Variola louti",0.01107,3.076899,1
"Balistoides conspicillum",0.0257,2.94,1
"Chaetodon pelewensis",0.026346,3.094727,1
"Chaetodon reticulatus",0.02291,3.01,1
"Anampses caeruleopunctatus",0.01,3.06,1
"Thalassoma lutescens",0.012764,3.053725,0.925
"Macolor macularis",0.0274,2.91,0.921
"Chlorurus japanensis",0.01413,3.04,1
"Scarus psittacus",0.022858,2.96259,1
"Scarus spinus",0.00794,3.11,1
"Cephalopholis urodeta",0.02822,2.81775,1
"Triaenodon obesus",0.001171,3.361543,1
"Chaetodon baronessa",0.02291,3.01,1
"Forcipiger longirostris",0.0271,3.061,1
"Centropyge flavissima",0.0302,2.89,1
"Scarus chameleon",0.01445,3.04,1
"Naso vlamingii",0.03104,2.843,1
"Pterocaesio pisang",0.00743,3.15,1
"Plectorhinchus vittatus",0.01349,3.01,1
"Pygoplites diacanthus",0.0302,2.89,1
"Pterocaesio trilineata",0.008263,3.145008,1
"Scarus rubroviolaceus",0.0114,3.18,1
"Siganus stellatus",0.0441,2.597,1
"Naso tonganus",0.05795,2.806,0.918274
"Balistoides viridescens",0.02442,3.01828,1
"Caranx ignobilis",0.012104,2.993242,1
"Chaetodon melannotus",0.029941,3.011927,1
"Coris aygula",0.00266,3.48857,1
"Myripristis adusta",0.0435,2.84,0.925
"Sargocentron spiniferum",0.016547,3.050844,1
"Halichoeres prosopeion",0.01,3.08,1
"Parupeneus barberinoides",0.01047,3.09,1
"Centropyge bicolor",0.0302,2.89,1
"Lethrinus olivaceus",0.025937,2.829751,1
"Mulloidichthys flavolineatus",0.022711,2.921851,1
"Siganus argenteus",0.008344,3.12321,1
"Centropyge bispinosa",0.111214,2.360317,1
"Ctenochaetus strigosus",0.00601,3.379,1
"Chaetodon mertensii",0.004261,3.800466,1
"Sufflamen chrysopterum",0.02972,2.957254,1
"Parupeneus crassilabris",0.00576,3.313934,1
"Parupeneus cyclostomus",0.0136,3.11,0.933
"Lethrinus atkinsoni",0.01648,3.029743,1
"Acanthurus japonicus",0.02291,2.96,1
"Chaetodon kleinii",0.0449,3.036,0.827
"Sargocentron caudimaculatum",0.0391,2.941,0.863
"Anampses neoguinaicus",0.01,3.06,1
"Bodianus loxozonus",0.01202,3.06,1
"Carangoides ferdau",0.025497,2.83241,1
"Aulostomus chinensis",0.000728,3.69717,1
"Cirrhilabrus punctatus",0.0166,2.95,1
"Oxycheilinus orientalis",0.0166,2.95,1
"Lethrinus xanthochilus",0.017926,2.939661,1
"Oxycheilinus unifasciatus",0.0166,2.95,1
"Aprion virescens",0.012092,3.021243,1
"Ctenochaetus",0.023674,3.000228,1
"Coris gaimard",0.01,3.06,1
"Novaculichthys taeniourus",0.0378,2.889,0.821
"Scolopsis temporalis",0.0263,2.846,0.93
"Sufflamen bursa",0.0257,2.94,1
"Halichoeres trimaculatus",0.025247,2.76776,1
"Parupeneus macronemus",0.00538,3.32293,1
"Parupeneus pleurostigma",0.01202,3.09,1
"Lutjanus kasmira",0.009214,3.186953,1
"Naso unicornis",0.029529,2.923551,1
"Lethrinus obsoletus",0.016939,3.003924,1
"Scolopsis trilineata",0.0182,2.98,1
"Pseudobalistes flavimarginatus",0.0257,2.94,1
"Lutjanus biguttatus",0.01445,2.98,1
"Scomberomorus commerson",0.007283,2.994036,1
"Acanthurus mata",0.01906,2.976475,1
"Labroides bicolor",0.00447,3.14,1
"Chaetodon ocellicaudus",0.02291,3.01,1
"Acanthurus nigricans",0.0263,2.93,1
"Chaetodon plebeius",0.071506,2.564913,1
"Neopomacentrus bankieri",0.01479,2.98,1
